id,female,black,latin,white,employed,wage,collgrad,age,parent_college,numkids,efc
679,1,1,0,0,1,50.83,0,35,0,3,0.3810406
680,0,1,0,0,1,30,1,37,1,0,0
681,1,1,0,0,0,15.1,0,33,1,0,8.255393
684,1,1,0,0,1,9.88,0,33,0,3,1.9341579999999998
686,1,0,0,1,1,11.7,0,35,0,4,0
687,0,0,0,1,1,44,0,34,0,2,0.5685391
689,1,0,1,0,1,18.29,0,34,0,1,0
691,0,0,1,0,1,19.04,0,35,0,2,1.575829
693,1,0,0,1,1,10,0,33,0,3,0
694,0,0,1,0,1,29,0,37,0,0,0.67698
700,1,1,0,0,1,8.5,0,37,0,3,1.405412
702,0,1,0,0,1,26.97,0,35,0,2,0
703,1,1,0,0,0,16.92,0,37,0,2,0
704,1,0,0,1,0,NA,0,36,0,0,2.225934
705,1,0,0,1,0,NA,0,37,1,3,5.5591289999999995
706,0,0,0,1,1,32,1,35,1,2,5.5591289999999995
707,1,0,0,1,1,39,1,35,0,2,0
708,1,1,0,0,1,29.07,0,37,0,0,20.27235
709,1,0,1,0,1,10,0,36,0,0,0
710,1,1,0,0,1,23.8,1,35,0,2,2.0896149999999998
712,0,1,0,0,0,NA,1,35,0,0,5.823561
713,1,1,0,0,1,11.5,0,34,0,4,5.815297999999999
714,0,1,0,0,1,36.54,0,33,0,0,8.554216
715,1,1,0,0,1,25.24,1,33,0,3,7.023022
717,0,1,0,0,0,10,0,37,0,2,8.833457000000001
718,0,1,0,0,1,31.4,0,35,1,3,31.44144
719,0,1,0,0,1,57.69,1,36,1,2,5.861866
721,1,0,1,0,1,50,1,36,0,2,7.092067
722,0,0,0,1,1,26.92,0,34,0,0,7.092067
725,1,1,0,0,1,122.38,1,37,1,1,10.28347
726,0,1,0,0,1,62.94,1,35,1,0,16.695330000000002
727,1,1,0,0,0,28,1,33,1,0,0
728,1,1,0,0,1,18,0,34,0,3,5.354688
729,0,1,0,0,1,32.41,1,37,0,0,10.25228
730,1,0,0,1,1,21,0,34,0,1,0
732,1,0,0,1,0,34.72,1,33,1,2,13.15534
734,1,0,0,1,1,64.43,1,34,1,0,10.87865
735,1,0,0,1,1,48.95,1,37,1,0,14.01275
737,0,0,0,1,1,51.15,0,35,1,2,25.91387
738,0,0,0,1,1,21.98,1,36,1,2,5.464843
739,1,0,0,1,1,15.14,1,35,1,0,5.464843
740,1,0,0,1,1,23.08,1,33,1,1,12.67577
741,1,0,0,1,1,49.62,1,35,1,0,4.5218370000000006
742,1,0,0,1,0,NA,1,35,1,2,25.23402
745,0,0,0,1,1,42.36,1,37,1,1,38.495
746,0,0,0,1,1,75,1,35,1,0,39.16583
749,1,1,0,0,0,NA,0,34,1,1,2.069216
751,1,1,0,0,1,11.5,0,33,0,5,0
752,0,1,0,0,1,11,0,34,0,0,0
753,0,1,0,0,1,24.67,0,35,0,0,3.275458
754,0,0,1,0,1,28.85,0,37,0,2,20.3004
755,1,0,0,1,1,58.66,1,35,0,2,0.9741281
757,1,0,0,1,1,43.42,1,37,1,1,14.29881
761,0,0,0,1,1,25.83,0,35,1,0,17.268169999999998
763,0,0,0,1,1,27.27,1,37,1,2,9.536906
764,0,1,0,0,0,NA,0,36,0,2,0
765,0,0,1,0,1,25.1,0,34,0,3,4.356927
768,0,1,0,0,1,29.57,1,33,0,0,0
769,1,0,0,1,1,90,0,37,1,0,5.9929440000000005
